algorithm,run,A,objective,daily_variance,annual_variance,daily_volatility,annual_volatility,daily_return,annual_return,cardinality,time_sec,feasible,share_konserwatywne,share_zrównoważone,share_agresywne,hhi,effective_assets,max_weight,top3_weight
GA,2,5,3.540164745668586e-05,3.540164745668586e-05,0.008921215159084837,0.005949928357273377,0.09445218451197854,0.00024292370876920292,0.06121677460983914,4,0.06500880001112819,True,1.0,0.0,0.0,0.2502104263942372,3.9966360091820374,0.2617458391631098,0.7563553069911672
GA,3,5,5.17410494226554e-05,5.17410494226554e-05,0.013038744454509161,0.0071931251499369455,0.11418732177658412,0.00023074370716635165,0.058147414205920615,5,0.05502540001180023,True,0.9316209655545433,0.0,0.0683790344454567,0.22168752934540645,4.510853645907714,0.2367006301984073,0.7028482690957353
GA,4,5,3.939472970908978e-05,3.939472970908978e-05,0.009927471886690624,0.0062765221029715,0.09963669949717636,0.00023074364680272138,0.05814739899428579,5,0.059033499914221466,True,0.9933367663246526,0.0,0.006663233675347521,0.24689247264362607,4.050346247062128,0.2573878325766989,0.7542101324524069
PSO,0,5,3.93269260600639e-05,3.93269260600639e-05,0.009910385367136103,0.006271118405839895,0.09955091846455312,0.0002619042171209282,0.0659998627144739,4,0.12008070002775639,True,1.0,0.0,0.0,0.250378000000863,3.993961130756509,0.2619680629419927,0.7651518552857226
PSO,1,5,5.026029290946521e-05,5.026029290946521e-05,0.012665593813185232,0.007089449408061617,0.11254152039663065,0.00026961827658179816,0.06794380569861314,5,0.23578109999652952,True,0.8329155791313154,0.16708442086868458,0.0,0.20412520404305232,4.898954074231268,0.23449888025761784,0.6643856241180581
PSO,2,5,4.038247234431913e-05,4.038247234431913e-05,0.01017638303076842,0.0063547204772766465,0.10087806020522214,0.0002307436780847259,0.05814740687735093,5,0.22345799999311566,True,0.9603671699374166,0.0,0.03963283006258346,0.2328282876179291,4.295010757631816,0.2598256270483871,0.7361473070446702
PSO,3,5,4.1735264037903953e-05,4.1735264037903953e-05,0.010517286537551795,0.006460283588040385,0.10255382263744145,0.00023074366918143566,0.05814740463372178,5,0.12450379994697869,True,0.9695258413222241,0.0,0.03047415867777592,0.23669234760881344,4.224893665141729,0.26633171309049014,0.7365576727924343
PSO,4,5,3.94663593934832e-05,3.94663593934832e-05,0.009945522567157767,0.006282225671963974,0.09972724084801388,0.0002307436469864869,0.0581473990405947,5,0.2832098000217229,True,0.9931364784015636,0.0,0.006863521598436347,0.24702289990177784,4.048207677902023,0.2642606281811236,0.7552086828630702
SA,0,10,6.865436252266384e-05,6.865436252266384e-05,0.017300899355711285,0.008285792811956127,0.1315328831726549,0.0002307437343719801,0.05814742106173899,10,0.046628299984149635,True,0.6451630120990074,0.2610816264609972,0.09375536143999547,0.10334605779177339,9.676227824914697,0.13039615205379043,0.36527033999003533
SA,1,10,6.257211228757451e-05,6.257211228757451e-05,0.015768172296468777,0.007910253617146198,0.12557138327050785,0.0002489807764080758,0.0627431556548351,10,0.05440869997255504,True,0.711060392678927,0.2091773470947687,0.07976226022630438,0.10542470614452823,9.485442611801885,0.13932102754921374,0.3812687569592327
SA,2,10,5.022819691559555e-05,5.022819691559555e-05,0.012657505622730079,0.007087185401525457,0.11250558040706284,0.00023074365479420721,0.05814740100814022,10,0.07895190000999719,True,0.7623779860182264,0.22232276223172326,0.015299251750050449,0.10888139240736112,9.184305765108798,0.12121033818572595,0.3593000279003149
SA,3,10,5.8584763579215374e-05,5.8584763579215374e-05,0.014763360421962274,0.007654068433141643,0.1215045695517756,0.000277349998265572,0.06989219956292415,10,0.15498470002785325,True,0.6518927680426747,0.3481072319573252,0.0,0.1033479663748152,9.676049128758564,0.12523451830967805,0.3591801059702477
SA,4,10,5.4348314794035764e-05,5.4348314794035764e-05,0.013695775328097012,0.007372130953397109,0.11702895081174151,0.00024777922159355953,0.062440363841577,10,0.1947165000019595,True,0.7091657822920253,0.2908342177079748,0.0,0.10642295687072978,9.3964688578864,0.14028949095602194,0.39973907864451796
GA,0,10,7.1576317824026e-05,7.1576317824026e-05,0.018037232091654552,0.008460278826612395,0.13430276278489045,0.00023074372351978282,0.05814741832698527,10,0.05869969993364066,True,0.6188894705331176,0.2973101051309454,0.08380042433593685,0.10040283767107834,9.959877859986582,0.1091704282348908,0.3187237313304206
GA,1,10,6.496852750252033e-05,6.496852750252033e-05,0.016372068930635125,0.008060305670538824,0.12795338577245668,0.00023074369146871965,0.058147410250117354,10,0.0686360999243334,True,0.6360167500890499,0.3109035341496182,0.053079715761332025,0.10324263520911728,9.685920917986126,0.12072826090502388,0.350880069504006
